Programmation culturelle - Maisons de la culture and Bibliothèques - Hiver-printemps 2017,,,,,
Toutes les activités sont gratuites,,,,,
,,,,,
Lieu,Type,Date/Heure,Titre,Description,Laissez-passez/ Inscriptions
"Maison de la culture de Côte-des-Neiges
5290, chemin de la Côte-des-Neiges, Montréal (Québec) H3T 1Y2
Métro Côte-des-Neiges
Heures d’ouverture :
Mardi et mercredi : de 13 h à 19 h
Jeudi et vendredi : de 13 h à 18 h
Samedi et dimanche : de 13 h à 17 h
",SPECTACLES ,,,,
,Laboratoire public ,30 janvier à 14 h,Non finito,Système Kangourou - Compagnie en résidence - Un théâtre qui s’interroge sur l’inachèvement et notre besoin de performance,"Laissez-passer dès le 16 janvier, places limitées"
,Conte musical,4 février à 15 h,Pierre et le pou,"Carte blanche à Pierre Labbé - Sacré Tympan - 5 ans + - Créé ici-même, il y a déjà 10 ans…",Laissez-passer dès le 21 janvier
,Musique,7 février à 20 h,Tromper Eustache,"Série jazzes-tu ? Carte blanche à Pierre Labbé - Pierre Labbé Sextet - Des musiciens d’exception, une soirée inoubliable !",Laissez-passer dès le 24 janvier
,Lecture théâtrale,10 février à 19 h 30,Du petit au gros centre,Le Centre communautaire de loisirs de la Côte-des-Neiges fête ses 40 ans ! Une histoire de grandes réalisations,Laissez-passer dès le 27 janvier
,Ciné-soirée ,14 février à 19 h 30,À rougir de plaisir,L'ONF à la maison - 18 ans + - Cinéma d’animation pour adulte - Suivi d’une discussion,Laissez-passer dès le 31 janvier
,Musique,16 février à 20 h,Le hot club de ma rue,"Série jazzes-tu ? Avec Martin Tremblay, Felicity Hamer, Mathieu Deschenaux et Olivier Pépin - Une ambiance digne des cabarets jazz des années 1930 à 1950",Laissez-passer dès le 2 février
,Jeune public,19 février à 15 h,Philémon et Baucis,"Un spectacle de L’Illusion, Théâtre de marionnettes - Pour petits et grands - Opéra pour marionnettes - 7 ans + | Durée: 50 minutes - Conseil des arts de Montréal en tournée",Laissez-passer dès le 5 février
,Musique,21 février à 20 h,Misc,"Série jazzes-tu ? - Un coup de cœur de la Maison ! - Jérôme Beaulieu, William Côté et Philippe Leduc",Laissez-passer dès le 7 février
,Musique,23 février à 20 h,Par 5 chemins,Série jazzes-tu ? Révélation Radio-Canada - Guillaume Martineau Quintet - Présenté dans le cadre du Conseil des arts de Montréal en tournée,Laissez-passer dès le 9 février
,Théâtre d’objets ,7 mars à 13 h 30,Quichotte,Ombres folles - En avant-première - 8 ans + - Le Don Quichotte de la Manche de Cervantes… ses aventures en ombres et en papier !,Laissez-passer dès le 21 février
,Concert théâtral,9 mars à 10 h 30,Les puces de Stradivarius,Les jeunesses musicales du Canada  - 3 ans + - Des espions cherchent le secret du grand luthier !,Laissez-passer dès le 23 février
,Cinéma d’animation,12 mars à 15 h,Le garçon et la bête,Réalisé par Mamoru Hosoda - 8 ans + - Une aventure qui dépasse l’imaginaire... (Japon | 2016 | 118 min | v.f.),Laissez-passer dès le 26 février
,Ciné-soirée,14 mars à 19 h 30,Demain,Réalisé par Mélanie Laurent et Cyril Dion (France| 2015 | 118 min.) - Une lueur d’espoir pour l’avenir,Laissez-passer dès le 28 février
,Théâtre,23 mars à 20 h,Je suis un arbre sans feuille,Fondation Metropolis bleu  - À partir de textes de camelots du magazine L’Itinéraire - Conseil des arts de Montréal en tournée,Laissez-passer dès le 9 mars
,Musique,25 mars à 16 h,Sacré rencontre 1 - Parlures et parjures,"Carte blanche à Pierre Labbé - Michel Faubert, Pierre Labbé, Bernard Falaise et Pierre Tanguay. Lancement de l’album à 17 h - Un spectacle mutant, une vision du monde actuelle et décapante !",Laissez-passer dès le 11 mars
,Musique contemporaine,"30 et 31 mars à 9 h 30, 10 h 30 et 11 h 30",Les Fonoformies,Société de musique contemporaine du Québec  - 1 à 4 ans - Un chemin peuplé de découvertes sonores et picturales inattendues ! - Présenté par le Conseil des arts de Montréal en tournée.,"Laissez-passer dès le 16 mars, places limitées"
,Laboratoire public,31 mars à 19 h 30,Sacré rencontre 2,Carte blanche à Pierre Labbé - Sacré Tympan et PPP Danse - Rencontre audacieuse entre musique et danse,Laissez-passer dès le 17 mars
,Lecture récital,5 avril à 20 h,La nuit du violoncelliste,"Un texte de Bernard Lévy, avec Sophie Faucher et Pierre-Alain Bouvrette  - Un monde de fantaisies dans chaque récit",Laissez-passer dès le 22 février
,Théâtre,13 avril à 10 h et 13 h 30,Richard le polichineur d'écritoire,Sylvain Massé - 12 ans + - Une revisite délirante de trois chefs-d’œuvre de W. Shakespeare,"Laissez-passer dès le 30 mars, places limitées"
,Conte,23 avril à 15 h,Vikings ,"Renée Robitaille - 3 ans + - Une histoire de dragons, de géants, de nains forgerons et de serpents titanesques !",Laissez-passer dès le 9 avril
,Ciné-soirée,26 avril à 19 h 30,Hommage à la danse,L'ONF à la maison - Suivi d’une discussion – Présenté dans le cadre de la semaine de la danse,Laissez-passer dès le 11 avril
,Nouvelle pratique artistique,28 avril à 00 h,"Schmuttland, pour une utopie durable","Souper spectacle - Une expérience unique, rassembleuse, délirante et festive ! Immigrez dans ce nouveau pays",Information au comptoir d’accueil
,ARTS VISUELS - EXPOSITIONS,,,,
